,mag,longitude,latitude,time
0,5,127,4,1994-01-01
1,2,-106,34,1994-01-01
2,3,34,28,1994-01-01
3,3,-3,51,1994-01-01
4,2,29,40,1994-01-01
5,4,55,28,1994-01-01
6,4,148,-6,1994-01-01
7,4,-156,57,1994-01-01
8,2,-150,62,1994-01-01
9,3,-4,36,1994-01-01
10,3,20,40,1994-01-01
11,2,21,39,1994-01-01
12,4,120,13,1994-01-01
13,3,142,-5,1994-01-01
14,4,-71,-32,1994-01-01
15,4,169,-21,1994-01-01
16,2,-116,34,1994-01-01
17,3,-117,34,1994-01-01
18,3,-70,-32,1994-01-01
19,2,-3,36,1994-01-01
20,4,123,-9,1994-01-01
21,2,-118,37,1994-01-01
22,4,-89,13,1994-01-01
23,3,29,39,1994-01-01
24,4,75,39,1994-01-01
25,3,-151,63,1994-01-01
26,2,-121,36,1994-01-01
27,2,-115,32,1994-01-02
28,2,-151,63,1994-01-02
29,3,22,37,1994-01-02
30,3,-122,37,1994-01-02
31,4,-87,11,1994-01-02
32,5,71,37,1994-01-02
33,2,20,40,1994-01-02
34,4,-72,6,1994-01-02
35,2,10,44,1994-01-02
36,2,13,46,1994-01-02
37,3,33,28,1994-01-02
38,2,28,41,1994-01-02
39,2,-122,37,1994-01-02
40,3,26,38,1994-01-02
41,3,-117,33,1994-01-02
42,4,144,12,1994-01-02
43,2,-115,32,1994-01-02
44,3,-70,-33,1994-01-02
45,3,20,40,1994-01-02
46,2,-115,32,1994-01-02
47,4,121,22,1994-01-02
48,2,30,40,1994-01-02
49,4,144,12,1994-01-02
50,2,28,39,1994-01-02
51,3,22,38,1994-01-02
52,3,26,-28,1994-01-02
53,3,-2,36,1994-01-03
54,5,-126,49,1994-01-03
55,2,-116,34,1994-01-03
56,4,-70,-15,1994-01-03
57,2,23,41,1994-01-03
58,2,-118,37,1994-01-03
59,3,-118,37,1994-01-03
60,3,-118,37,1994-01-03
61,2,-150,64,1994-01-03
62,5,100,36,1994-01-03
63,2,25,39,1994-01-03
64,3,-155,57,1994-01-03
65,3,34,29,1994-01-03
66,5,130,-6,1994-01-03
67,2,29,39,1994-01-03
68,4,-68,-33,1994-01-03
69,4,167,-17,1994-01-03
70,6,164,-49,1994-01-03
71,5,-177,-22,1994-01-03
72,4,-177,-28,1994-01-03
73,3,-145,67,1994-01-03
74,3,28,39,1994-01-03
75,3,-61,16,1994-01-03
76,5,-178,-32,1994-01-03
77,4,125,0,1994-01-03
78,4,71,34,1994-01-03
79,3,-142,60,1994-01-03
80,5,35,37,1994-01-03
81,2,-116,33,1994-01-03
82,2,3,62,1994-01-03
83,3,20,38,1994-01-03
84,3,28,39,1994-01-03
85,2,15,44,1994-01-03
86,3,-120,36,1994-01-03
87,2,27,38,1994-01-04
88,2,-151,63,1994-01-04
89,5,-173,-16,1994-01-04
90,5,-173,-17,1994-01-04
91,3,29,37,1994-01-04
92,3,-71,-32,1994-01-04
93,3,15,51,1994-01-04
94,4,118,-12,1994-01-04
95,2,20,42,1994-01-04
96,3,27,-26,1994-01-04
97,4,-2,36,1994-01-04
98,3,-2,36,1994-01-04
99,4,-178,-18,1994-01-04
100,3,-2,36,1994-01-04
101,3,-71,-33,1994-01-04
102,4,51,29,1994-01-04
103,3,20,37,1994-01-04
104,3,-70,-32,1994-01-04
105,2,-4,37,1994-01-04
106,5,124,0,1994-01-04
107,4,26,-26,1994-01-04
108,3,-70,-33,1994-01-04
109,5,-177,-31,1994-01-04
110,2,28,40,1994-01-04
111,2,26,-26,1994-01-04
112,3,-71,-33,1994-01-04
113,3,-2,36,1994-01-04
114,4,95,26,1994-01-04
115,2,29,40,1994-01-04
116,3,-151,59,1994-01-04
117,4,-178,-18,1994-01-04
118,2,28,39,1994-01-04
119,3,-153,59,1994-01-04
120,6,135,-4,1994-01-04
121,5,135,-4,1994-01-04
122,4,142,42,1994-01-04
123,3,-2,36,1994-01-04
124,3,26,-26,1994-01-04
125,4,166,-14,1994-01-04
126,2,-117,34,1994-01-04
127,3,27,40,1994-01-04
128,2,-149,62,1994-01-04
129,4,179,51,1994-01-04
130,3,23,38,1994-01-04
131,5,145,16,1994-01-04
132,4,-71,-30,1994-01-05
133,4,147,-6,1994-01-05
134,4,-72,-29,1994-01-05
135,4,-147,67,1994-01-05
136,2,0,49,1994-01-05
137,2,23,41,1994-01-05
138,2,-155,65,1994-01-05
139,4,126,3,1994-01-05
140,3,117,-31,1994-01-05
141,3,-119,48,1994-01-05
142,5,145,16,1994-01-05
143,2,24,40,1994-01-05
144,4,96,27,1994-01-05
145,4,-69,-33,1994-01-05
146,5,-72,-30,1994-01-05
147,4,-175,-17,1994-01-05
148,3,19,41,1994-01-05
149,3,13,42,1994-01-05
150,3,-2,36,1994-01-05
151,5,145,-5,1994-01-05
152,4,121,21,1994-01-05
153,4,21,36,1994-01-05
154,3,15,51,1994-01-05
155,4,134,-4,1994-01-05
156,4,-68,-33,1994-01-05
157,2,27,39,1994-01-05
158,2,27,-26,1994-01-05
159,3,23,42,1994-01-05
160,5,15,39,1994-01-05
161,2,-120,39,1994-01-05
162,5,146,-6,1994-01-05
163,4,-73,6,1994-01-05
164,3,-70,-32,1994-01-05
165,2,29,40,1994-01-05
166,2,27,-26,1994-01-05
167,3,-69,-32,1994-01-05
168,2,27,-26,1994-01-05
169,2,-150,61,1994-01-05
170,2,-122,42,1994-01-05
171,2,29,39,1994-01-05
172,4,122,21,1994-01-05
173,4,55,14,1994-01-05
174,2,-146,67,1994-01-05
175,2,-114,33,1994-01-05
176,3,-151,58,1994-01-05
177,3,-2,36,1994-01-05
178,3,27,40,1994-01-05
179,4,-173,51,1994-01-05
180,3,-106,25,1994-01-05
181,4,130,-6,1994-01-05
182,2,30,38,1994-01-06
183,2,-59,13,1994-01-06
184,4,72,37,1994-01-06
185,3,29,40,1994-01-06
186,4,-69,-31,1994-01-06
187,2,7,44,1994-01-06
188,5,145,17,1994-01-06
189,3,-71,-33,1994-01-06
190,2,-61,11,1994-01-06
191,4,-80,-4,1994-01-06
192,3,-71,-34,1994-01-06
193,2,29,39,1994-01-06
194,3,16,51,1994-01-06
195,2,29,39,1994-01-06
196,3,15,51,1994-01-06
197,2,-121,36,1994-01-06
198,2,29,39,1994-01-06
199,2,27,39,1994-01-06
200,4,15,39,1994-01-06
201,2,29,40,1994-01-06
202,2,29,39,1994-01-06
203,4,144,-4,1994-01-06
204,2,-116,34,1994-01-06
205,4,-68,18,1994-01-06
206,2,-120,39,1994-01-06
207,3,-73,2,1994-01-06
208,3,19,40,1994-01-06
209,2,-114,33,1994-01-06
210,4,126,7,1994-01-07
211,4,-70,-21,1994-01-07
212,5,-179,-22,1994-01-07
213,3,-71,-34,1994-01-07
214,4,-86,12,1994-01-07
215,2,5,47,1994-01-07
216,2,-60,15,1994-01-07
217,5,159,52,1994-01-07
218,2,22,41,1994-01-07
219,3,-120,35,1994-01-07
220,2,22,41,1994-01-07
221,3,-61,11,1994-01-07
222,5,-79,2,1994-01-07
223,4,169,-19,1994-01-07
224,2,19,39,1994-01-07
225,3,-70,-35,1994-01-07
226,2,27,39,1994-01-07
227,4,71,34,1994-01-07
228,4,-121,42,1994-01-07
229,2,27,39,1994-01-07
230,2,-121,42,1994-01-07
231,2,27,39,1994-01-07
232,2,-150,62,1994-01-07
233,2,27,39,1994-01-07
234,5,136,-2,1994-01-07
235,2,27,39,1994-01-07
236,5,96,4,1994-01-07
237,2,29,39,1994-01-07
238,3,-71,-32,1994-01-07
