,mag,longitude,latitude,time
0,5,99,26,2010-01-01
1,5,83,30,2010-01-01
2,3,-115,32,2010-01-01
3,5,51,40,2010-01-01
4,2,-117,35,2010-01-01
5,2,-117,36,2010-01-01
6,3,-111,42,2010-01-01
7,4,127,5,2010-01-01
8,4,125,13,2010-01-01
9,4,25,34,2010-01-01
10,2,-115,32,2010-01-01
11,4,151,46,2010-01-01
12,5,-30,42,2010-01-01
13,2,-150,62,2010-01-01
14,2,-115,32,2010-01-01
15,5,69,-22,2010-01-01
16,2,-163,52,2010-01-01
17,4,-179,-24,2010-01-01
18,2,-150,60,2010-01-01
19,3,-175,51,2010-01-01
20,4,126,3,2010-01-01
21,4,121,23,2010-01-01
22,5,67,1,2010-01-01
23,2,-115,32,2010-01-01
24,4,67,1,2010-01-01
25,4,130,-6,2010-01-01
26,4,101,-1,2010-01-01
27,2,-97,35,2010-01-01
28,3,-174,52,2010-01-01
29,5,-175,-19,2010-01-02
30,5,67,-16,2010-01-02
31,4,-166,51,2010-01-02
32,4,165,55,2010-01-02
33,5,71,38,2010-01-02
34,2,-161,55,2010-01-02
35,4,71,38,2010-01-02
36,2,-118,33,2010-01-02
37,4,142,12,2010-01-02
38,4,142,12,2010-01-02
39,4,71,38,2010-01-02
40,5,142,12,2010-01-02
41,5,142,12,2010-01-02
42,4,142,12,2010-01-02
43,4,166,-46,2010-01-02
44,4,141,12,2010-01-02
45,4,141,12,2010-01-02
46,4,141,12,2010-01-02
47,4,134,-2,2010-01-02
48,4,-81,-1,2010-01-02
49,6,141,12,2010-01-02
50,3,179,52,2010-01-02
51,4,142,22,2010-01-02
52,2,-164,53,2010-01-02
53,2,-160,55,2010-01-02
54,4,79,40,2010-01-02
55,4,142,12,2010-01-02
56,4,-92,14,2010-01-02
57,3,-120,45,2010-01-02
58,2,-165,53,2010-01-02
59,4,141,12,2010-01-02
60,4,-87,12,2010-01-02
61,4,-30,52,2010-01-02
62,4,129,-2,2010-01-03
63,4,158,-8,2010-01-03
64,4,122,-8,2010-01-03
65,3,-164,53,2010-01-03
66,4,166,-10,2010-01-03
67,4,126,0,2010-01-03
68,5,145,-5,2010-01-03
69,2,-118,37,2010-01-03
70,2,-166,52,2010-01-03
71,2,-115,32,2010-01-03
72,2,-152,59,2010-01-03
73,2,-122,38,2010-01-03
74,5,167,-13,2010-01-03
75,4,-74,-15,2010-01-03
76,4,148,44,2010-01-03
77,4,-68,-22,2010-01-03
78,3,-176,51,2010-01-03
79,5,138,-1,2010-01-03
80,5,166,-12,2010-01-03
81,2,-115,32,2010-01-03
82,4,-174,-18,2010-01-03
83,2,-165,52,2010-01-03
84,4,157,-8,2010-01-03
85,5,-77,-8,2010-01-03
86,5,126,6,2010-01-03
87,4,151,-5,2010-01-03
88,6,157,-8,2010-01-03
89,4,157,-8,2010-01-03
90,4,157,-8,2010-01-03
91,4,157,-8,2010-01-03
92,4,157,-8,2010-01-03
93,4,157,-8,2010-01-03
94,4,157,-8,2010-01-03
95,2,-115,32,2010-01-03
96,2,-115,32,2010-01-03
97,4,157,-8,2010-01-03
98,7,157,-8,2010-01-03
99,4,157,-8,2010-01-03
100,5,157,-8,2010-01-03
101,4,157,-8,2010-01-03
102,4,157,-8,2010-01-03
103,4,157,-8,2010-01-03
104,4,157,-8,2010-01-03
105,3,-170,52,2010-01-03
106,4,157,-8,2010-01-03
107,4,157,-8,2010-01-03
108,4,157,-8,2010-01-03
109,4,157,-8,2010-01-03
110,4,67,1,2010-01-03
111,4,157,-8,2010-01-04
112,3,-116,32,2010-01-04
113,4,157,-8,2010-01-04
114,4,157,-8,2010-01-04
115,4,157,-8,2010-01-04
116,4,-68,18,2010-01-04
117,2,-176,51,2010-01-04
118,5,157,-8,2010-01-04
119,4,-103,-3,2010-01-04
120,5,157,-8,2010-01-04
121,4,157,-9,2010-01-04
122,4,-81,-1,2010-01-04
123,2,-164,53,2010-01-04
124,4,-26,-55,2010-01-04
125,5,157,-8,2010-01-04
126,4,122,0,2010-01-04
127,4,-171,52,2010-01-04
128,4,157,-8,2010-01-04
129,4,157,-8,2010-01-04
130,5,157,-9,2010-01-04
131,4,-173,-15,2010-01-04
132,2,-163,54,2010-01-04
133,4,157,-8,2010-01-04
134,2,-152,59,2010-01-04
135,4,152,-6,2010-01-04
136,4,157,-8,2010-01-04
137,4,157,-8,2010-01-04
138,5,157,-8,2010-01-04
139,4,157,-8,2010-01-04
140,4,-26,-55,2010-01-04
141,4,-179,-31,2010-01-04
142,4,178,-36,2010-01-04
143,4,157,-9,2010-01-04
144,4,157,-8,2010-01-04
145,5,-178,-20,2010-01-04
146,5,157,-8,2010-01-04
147,4,157,-8,2010-01-04
148,4,157,-8,2010-01-04
149,4,-178,-29,2010-01-04
150,4,157,-8,2010-01-04
151,2,-123,40,2010-01-04
152,5,157,-8,2010-01-04
153,4,-123,40,2010-01-04
154,2,-123,40,2010-01-04
155,5,-107,18,2010-01-04
156,4,-73,6,2010-01-04
157,4,-37,8,2010-01-04
158,2,-123,40,2010-01-04
159,3,-113,37,2010-01-04
160,4,152,46,2010-01-04
161,3,-168,52,2010-01-04
162,2,-168,52,2010-01-04
163,4,157,-8,2010-01-04
